trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 0.9455391358903963}",20,3,-6.203213768332274,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.9445940693665233}",30,0,-118.86248450368274,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.9436499474367985}",25,0,-165.74423071517936,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
59,False,"{'a': 0.5, 'e': 0.9427067691570997}",20,0,-45.01495834447141,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.9417645335842487}",25,0,-117.3428445971246,"{0: 11, 1: 5, 2: 8, 3: 1, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9408232397760098}",20,0,-45.107076105935505,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9398828867910889}",30,0,-131.06871989300112,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
63,False,"{'a': 0.5, 'e': 0.9389434736891332}",25,0,-73.36048105057964,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
64,False,"{'a': 0.5, 'e': 0.9380049995307295}",30,0,-133.5350543145536,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.9370674633774034}",20,8,-112.67230791289157,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 2}",1
66,False,"{'a': 0.5, 'e': 0.9361308642916188}",25,0,-197.8201217863891,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
67,False,"{'a': 0.5, 'e': 0.9351952013367766}",20,0,-81.40780557895187,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.9342604735772135}",25,0,-183.79970824404162,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.933326680078202}",30,0,-146.97751259116143,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
70,False,"{'a': 0.5, 'e': 0.9323938199059483}",20,0,-78.28898645133083,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
71,False,"{'a': 0.5, 'e': 0.9314618921275921}",25,0,-78.99268853915883,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.9305308958112057}",25,0,-73.48760552319129,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.9296008300257927}",25,15,-69.29214693473415,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
74,False,"{'a': 0.5, 'e': 0.9286716938412872}",20,0,-66.3330603084004,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9277434863285529}",25,0,-102.65404568249954,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9268162065593822}",25,0,-113.19775379848751,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.9258898536064953}",25,0,-87.16451166610483,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.9249644265435393}",20,0,-65.19572538209073,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9240399244450869}",30,0,-61.395420063890604,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.9231163463866358}",25,0,-155.20810674388673,"{0: 15, 1: 0, 2: 7, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.922193691444608}",25,0,-131.4616807118139,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9212719586963487}",25,0,-163.06552064400552,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.9203511472201247}",20,0,-118.66589562975332,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9194312560951247}",20,0,-134.13759314005472,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.9185122844014574}",20,0,-103.03275887897688,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
86,False,"{'a': 0.5, 'e': 0.917594231220151}",20,14,-13.858669987171044,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.9166770956331523}",25,0,-166.70906175467505,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.9157608767233256}",20,9,8.450367781310106,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.914845573574452}",20,14,13.643239315569376,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.9139311852712282}",30,0,-118.5539668398155,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.9130177108992658}",25,0,-143.4676389422916,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.9121051495450904}",20,0,-146.39737852427893,"{0: 9, 1: 5, 2: 1, 3: 4, 4: 1}",0
93,False,"{'a': 0.5, 'e': 0.9111935002961405}",20,7,-17.54794777079175,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.910282762240767}",25,14,-86.26269168541869,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
95,False,"{'a': 0.5, 'e': 0.9093729344682314}",30,3,-57.41729087592554,"{0: 22, 1: 0, 2: 4, 3: 0, 4: 1}",1
96,False,"{'a': 0.5, 'e': 0.9084640160687062}",20,0,-72.42140200775656,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.9075560061332727}",30,0,-196.71211578653194,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.9066489037539209}",20,0,-45.43757685324296,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9057427080235485}",25,0,-138.78244369123237,"{0: 13, 1: 1, 2: 9, 3: 1, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9048374180359596}",25,2,-45.030382156810624,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.9039330328858641}",25,0,-37.931336066010076,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.9030295516688768}",20,10,-36.41473495362291,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.9021269734815165}",20,0,-41.905922483782824,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.9012252974212048}",20,10,-18.006374109965478,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.9003245225862656}",20,0,-10.312476361416978,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.899424648075924}",30,0,-163.18314807448243,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 3}",0
107,False,"{'a': 0.5, 'e': 0.8985256729903055}",20,9,-72.45600770608772,"{0: 6, 1: 1, 2: 2, 3: 1, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.8976275964304349}",25,0,-78.29143204121068,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
109,False,"{'a': 0.5, 'e': 0.8967304174982355}",20,0,-98.01076283409205,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
